Name,Review Count,Stars,Price
Palàcio da Bahia,"13,619",4.5,70
Jardin Majorelle,"50,608",4.5,170
Medina of Marrakesh,"18,939",4,20
Jemaa el-Fnaa,"52,937",4,20
Medersa Ben Youssef,"9,266",4.5,70
Maison de la Photographie,"5,215",4.5,30
Le Jardin Secret,"3,107",4.5,40
Moroccan Active Adventures,656,5,50
Anima André Heller Garden,752,4.5,40
Dar Si Said Museum,814,4,20
Rahba Kedima Square,527,4.5,80
Dar El Bacha - Musee des Confluences,358,4.5,60
Boucharouite Museum,402,4.5,120
The Orientalist Museum of Marrakech,251,4.5,130
Musée de la Musique,285,4.5,47
Mohammed VI Museum,148,4.5,36
Hammam Rosa Bonheur,"2,244",5,24
Les Bains d'Orient Marrakech,"1,359",5,200
Marajah Spa,806,5,300
Heritage Spa,"1,434",4.5,400
Isis Spa,"1,451",4.5,500
Cooking Workshops at La Maison Arabe,714,5,200
Mythic Oriental Spa,999,5,600
Hammam de la Rose,"1,243",4.5,400
Baan Thai institut,911,5,210
le Bain de Kasbah,593,5,320
Alphais Spa,"1,166",5,450
Medina Spa,957,4.5,700
Faim d'Epices,"1,953",5,500
Cooking Class with Chef Khmisa,624,5,230
